id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
12090, POMMERIT JAUDY-RUE DE LA GARE PARKING BOULANGERIE,PARKING RUE DE LA GARE,48.73119,-3.243134,false,2,22000
12091, WICKER TP ATELIERS,rue du forgeron shaf,48.73133,7.56065,false,2,22
12092, LANNION URSULINES,PARKING DES URSULINES,48.731562,-3.453745,false,1,0
12093, Ibis Styles Dreux,10 Rue du Bois des Fossés,48.7316764,1.3696742,False,3,50
12094, IGNY - SARRAUT / FERRY,RUE JULES FERRY,48.732231,2.221078,false,2,22000
12095, Sarrebourg Centre E.Leclerc,19 Rue De Lunéville 57400 Sarrebourg,48.73226878,7.04323706,false,28,22
12096, MASSY - NOYER LAMBERT,AVENUE DU NOYER LAMBERT,48.73232,2.292326,false,2,22000
12097, VITRY LE FRANCOIS - Rue Paul Foureur,VITRY LE FRANCOIS - Rue Paul Foureur,48.732577,4.586977,FALSE,2,22
12098, VITRY LE FRANCOIS - Rue Paul Foureur,Rue Paul Foureur,48.73257827758789,4.586977005004883,false,2,3.7
12099, IZIVIA | STATION ORLY,AVENUE DE LAÉROPORT,48.732587,2.365344,false,2,350000
12100, PLOEZAL-CHATEAU ROCHE JAGU,CHATEAU DE LA ROCHE JAGU,48.732681,-3.155936,false,2,22000
12101, Metropolis - Proximité - Antony - De Tocqueville,Rue Alexis de Tocqueville 92160 ANTONY,48.73274,2.31383,false,1,7.00
12102, ORY - BAT, Rue de la Fossette 94390 Paray-Vieille-Poste,48.733494,2.363758,FALSE,9,24
12103, Sarrebourg Le Marché Bio Sarrebourg,2 Rue Des Tanneurs 57400 Sarrebourg,48.73360275,7.04613784,false,2,22
12104, Bmw Lannion,Rue Paul Fleuriot de Langle 22300 Lannion,48.733781,-3.4351,false,4,50.00
12105, Skill Telecom Lannion,6 Rue Saint-Marc,48.7338036,-3.4439074,False,3,50
12106, Sarrebourg CineStar,Rue de la Division Leclerc 57400 Sarrebourg,48.7339,7.06064,false,2,22
12107, Flers de l'Orne BMW-MINI,Rue Des Monts Richards 61100 Flers,48.73401665,-0.5775891,false,1,7
12108, VAUHALLAN - MAIRIE,GRANDE RUE DU 8 MAI 1945,48.73402,2.20761,false,2,22000
12109, Sarrebourg Mairie,Place Wilson 57400 Sarrebourg,48.7341,7.05582,false,4,22
12110, Pézarches,croisement RD402 - RD231,48.734184,2.984761,false,2,18
12111, MASSY – RUE PIERRE PICARD,RUE PIERRE PICARD,48.73428,2.273265,false,2,22000
12112, SIGEIF - PARKING ESPACE SAINT EXEPURY - WISSOUS,PARKING ESPACE SAINT EXÉPURY,48.73466,2.324704,false,2,22000
12113, COMCOM BASSIN POMPEY,RUE DE FROUARD,48.735001,6.167017,false,2,22000
12114, Flers-Miniere rue de la Minière -4165,rue de la Minière 61100 FLERS,48.735403,-0.574797,false,2,22
12115, MASSY - JOLIOT CURIE,RUE JOLIOT CURIE,48.735409,2.257871,false,2,22000
12116, Touquin,place de la mairie,48.735561,3.011744,false,2,18
12117, Sarrebourg Parking Cordeliers,Parking Place des Cordeliers 57400 Sarrebourg,48.7357,7.05345,false,2,22
12118, Sarrebourg Impasse du Général de Maud Huy,2 impasse du Général de Maud Huy 57400 Sarrebourg,48.7357212,7.07420562,false,2,22
