id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
65, 485 CHEMIN DE LA CHARESTE Le Domaine Du Plan,485 CHEMIN DE LA CHARESTE Le Domaine Du Plantier 38260 SAINT-HILAIRE-DE-LA-CÔTE (GDF),45.39526,5.33488,0,1,22
66, 5 ALLÉE DES ACACIAS - LE BRIDGE 33700 MERIGNA,5 ALLÉE DES ACACIAS - LE BRIDGE 33700 MERIGNAC,44.83631,0.6827,0,10,22
67, 5 ALLÉE DU PROGRÈS Profil Ingénierie 59195 EN,5 ALLÉE DU PROGRÈS Profil Ingénierie 59195 ENGLOS,50.62498,2.96064,0,3,22
68, 5 RUE DAGUERRE 44000 NANTES,5 RUE DAGUERRE 44000 NANTES,47.2746,-1.5105,0,5,22
69, 52 RUE DU GUÉ LAMBERT Hôtel Kyriad Direct Sai,52 RUE DU GUÉ LAMBERT Hôtel Kyriad Direct Saint Brieuc  22950 TRÉGUEUX,48.49415,-2.76491,0,6,22
70, 52 RUE DU GUÉ LAMBERT Hôtel Kyriad Direct Sai,52 RUE DU GUÉ LAMBERT Hôtel Kyriad Direct Saint Brieuc  22950 TRÉGUEUX,48.4941535,-2.7649063,0,6,22
71, 6 RUE DE RHEINFELD 67100 STRASBOURG,6 RUE DE RHEINFELD 67100 STRASBOURG,48.523229,7.785218,0,3,22
72, 6 RUE DE ROCHEFORT 67100 STRASBOURG,6 RUE DE ROCHEFORT 67100 STRASBOURG,48.52027,7.78094,0,6,22
73, 63 RUE JEAN BRIAUD 33700 MERIGNAC,63 RUE JEAN BRIAUD 33700 MERIGNAC,44.820877,-0.672754,0,6,22
74, 67 Allée Alexandre Borodine 69800 SAINT-PRIES,67 Allée Alexandre Borodine 69800 SAINT-PRIEST,45.710516,4.933825,0,6,22
75, 68 RUE DU LAPIN BLANC Ateim SA 59640 DUNKERQU,68 RUE DU LAPIN BLANC Ateim SA 59640 DUNKERQUE,51.02894,2.31846,0,5,22
76, 7 RUE AUGUSTIN FRESNEL 78410 AUBERGENVILLE,7 RUE AUGUSTIN FRESNEL 78410 AUBERGENVILLE,48.967135,1.847847,0,6,22
77, 744 RN 20 Campanile Orléans Nord Saran 45770 ,744 RN 20 Campanile Orléans Nord Saran 45770 SARAN,47.9446,1.89342,0,6,22
78, 76 RUE DES FRÈRES LUMIÈRE 59560 COMINES,76 RUE DES FRÈRES LUMIÈRE 59560 COMINES,50.752933,2.993323,0,5,22
79, 77 RUE DE LA MONTAT Kyriad St Etienne 42000 ST,77 RUE DE LA MONTAT Kyriad St Etienne 42000 ST ETIENNE,45.44183,4.40645,0,7,22
80, 77 RUE DE LA MONTAT Kyriad St Etienne 42000 ST,77 RUE DE LA MONTAT Kyriad St Etienne 42000 ST ETIENNE,45.441831,4.406451,0,7,22
81, 8 BOULEVARD EINSTEIN BATIMENT A 44000 NANTES,8 BOULEVARD EINSTEIN BATIMENT A 44000 NANTES,47.26161,-1.55827,0,5,22
82, 8 BOULEVARD EINSTEIN BATIMENT B 44000 NANTES,8 BOULEVARD EINSTEIN BATIMENT B 44000 NANTES,47.2611,-1.5585,0,5,22
83, 8 IMPASSE RUDOLF DIESEL 33700 MERIGNAC,8 IMPASSE RUDOLF DIESEL 33700 MERIGNAC,44.837068,-0.684597,0,6,22
84, 8 RUE DE COPENHAGUE BATIMENT H3 67300 SHILTIG,8 RUE DE COPENHAGUE BATIMENT H3 67300 SHILTIGHEIM,48.60909,7.71741,0,5,22
85, 8 RUE DES HERONS 67960 ENTZHEIM,8 RUE DES HERONS 67960 ENTZHEIM,48.54376,7.65126,0,6,22
86, 8 RUE EDOUARD NIGNON 44000 NANTES,8 RUE EDOUARD NIGNON 44000 NANTES,47.2761,0.0,0,5,22
87, 801003,Gare Conches en Ouches,48.962303,0.937161,false,2,22.0
88, 801004,Gare Conches en Ouches,48.962291,0.937233,false,2,22.0
89, 9 ALLEE DE LONGCHAMP 54600 VILLIERS-LES-NANCY,9 ALLEE DE LONGCHAMP 54600 VILLERS-LES-NANCY,48.6566337,6.1381254,0,5,22
90, 900001,Place Houdouard Breteuil,48.836177,0.918076,false,2,22.0
91, 900002,Rue Augustin Hébert - théatre Pont Audemer,49.35578,0.518561,false,2,22.0
92, 900003,Place de la mairie Condé /Iton,48.83254,0.96432,false,2,22.0
93, 900004,Place du Gal de Gaulle Cormeilles ,49.24707,0.376949,false,2,22.0
94, 900005,Rue R.Roche Gaillon,49.164969,1.341375,false,2,22.0
95, 900006,Salle des fêtes Brionne,49.19387,0.721077,false,2,22.0
96, 900007,Carrefour Market Damville,48.86549,1.070287,false,2,22.0
97, 900008,Parking de la Gare Brionne,49.196627,0.712047,false,2,22.0
98, 900009,Place des Ecoles Thiberville,49.135919,0.457547,false,2,22.0
99, 900010,Carrefour Market Thiberville,49.141649,0.45836,false,2,22.0
100, 900011,Rue de la Seule - médiathèque Pont Audemer,49.35841,0.515229,false,2,22.0
101, 900012,Ecoparc satellite ZA1 Heudebouville,49.197647,1.221452,false,2,22.0
102, 900013,Carrefour Market Bernay,49.090911,0.601421,false,2,22.0
103, 900014,Rue Delaquaize - annexe hopital Pont Audemer,49.35304,0.514153,false,2,22.0
